SN,Gender,Age group,University/College,Level of Study,Indicate your year of study,Indicate your discipline of study,"To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [1) How often do you find that you stay on-line longer than intended?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [2) How often do you neglect household chores to spend more time on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [3) How often do you prefer the excitement of the Internet to intimacy with your partner?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [4) How often do you form new relationships with fellow on-line users?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [5) How often do others in your life complain to you about the amount of time you spend online?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [6) How often do your grades or school-work suffer because of the amount of time you spend on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [7) How often do you check your e-mail/social media platforms before something else that you need to do?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [8) How often does your job performance or productivity suffer because of the Internet?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [9) How often do you become defensive or secretive when anyone asks you what you do on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [10) How often do you block out disturbing thoughts about your life with soothing thoughts of the Internet?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [11) How often do you find yourself anticipating when you will go on-line again?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [12) How often do you fear that life without the Internet would be boring, empty, and joyless?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [13) How often do you snap, yell, or act annoyed if someone bothers you while you are on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [14) How often do you lose sleep due to late- night log-ins?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [15) How often do you feel preoccupied with the Internet when off-line, or fantasize about being on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [16) How often do you find yourself saying ""just a few more minutes"" when on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [17) How often do you try to cut down the amount of time you spend on-line and fail?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [18) How often do you try to hide how long you've been on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [19) How often do you choose to spend more time on-line over going out with others?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [20) How often do you feel depressed, moody, or nervous when you are off-line, which goes away once you are back on-line?]",In the last two weeks: [Do you often have headaches?],In the last two weeks: [Is your appetite poor?],In the last two weeks: [Do you sleep badly?],In the last two weeks: [Are you easily frightened?],In the last two weeks: [Do your hands shake?],"In the last two weeks: [Do you feel nervous, tense or worried?]",In the last two weeks: [Is your digestion poor?],In the last two weeks: [Do you have trouble thinking clearly],In the last two weeks: [Do you feel unhappy?],In the last two weeks: [Do you cry more than usual?],In the last two weeks: [Do you find it difficult to enjoy your daily activities?],In the last two weeks: [Do you find it difficult to make decisions?],In the last two weeks: [Is your daily work suffering?],In the last two weeks: [Are you unable to play a useful part in life?],In the last two weeks: [Have you lost interest in things?],In the last two weeks: [Do you feel that you are a worthless person?],In the last two weeks: [Has the thought of ending your life been on your mind?],In the last two weeks: [Do you feel tired all the time?],In the last two weeks: [Do you have uncomfortable feelings in your stomach?],In the last two weeks: [Are you easily tired?],
11,Female,35-39,Chancellor College,Postgraduate,7=Missing,Science,3=Frequently,0=Does not Apply,0=Does not Apply,1=Rarely,2=Occasionally,0=Does not Apply,5=Always,1=Rarely,0=Does not Apply,1=Rarely,2=Occasionally,0=Does not Apply,2=Occasionally,99=Missing,5=Always,0=Does not Apply,2=Occasionally,0=Does not Apply,4=Often,0=Does not Apply,No,No,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1
12,Male,25-29,Chancellor College,Undergraduate,3,Science,2=Occasionally,2=Occasionally,1=Rarely,3=Frequently,2=Occasionally,2=Occasionally,3=Frequently,2=Occasionally,2=Occasionally,1=Rarely,2=Occasionally,3=Frequently,1=Rarely,99=Missing,2=Occasionally,1=Rarely,2=Occasionally,1=Rarely,2=Occasionally,2=Occasionally,No,1,No,No,No,No,No,No,No,No,No,No,1,No,1,No,No,No,No,No,3
13,Female,25-29,Chancellor College,Postgraduate,7=Missing,Science,5=Always,5=Always,5=Always,1=Rarely,5=Always,5=Always,5=Always,5=Always,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,99=Missing,4=Often,5=Always,5=Always,5=Always,5=Always,2=Occasionally,1,1,1,1,No,1,1,1,1,No,1,No,No,No,1,1,1,1,No,1,14
14,Male,25-29,Chancellor College,Postgraduate,7=Missing,Science,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,2=Occasionally,1=Rarely,3=Frequently,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,99=Missing,1=Rarely,2=Occasionally,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,No,No,No,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,No,1
15,Female,15-19,Chancellor College,Undergraduate,1,Science,4=Often,3=Frequently,5=Always,5=Always,5=Always,0=Does not Apply,5=Always,0=Does not Apply,5=Always,1=Rarely,5=Always,5=Always,5=Always,5=Always,5=Always,5=Always,5=Always,4=Often,1=Rarely,4=Often,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,No,1
16,Male,25-29,Chancellor College,Undergraduate,4+,Science,2=Occasionally,1=Rarely,2=Occasionally,3=Frequently,0=Does not Apply,0=Does not Apply,3=Frequently,0=Does not Apply,1=Rarely,1=Rarely,4=Often,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,2=Occasionally,4=Often,1=Rarely,1=Rarely,0=Does not Apply,No,No,No,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1
17,Male,20-24,Chancellor College,Undergraduate,3,Science,3=Frequently,3=Frequently,2=Occasionally,2=Occasionally,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,4=Often,3=Frequently,3=Frequently,4=Often,3=Frequently,2=Occasionally,3=Frequently,No,No,1,No,No,1,1,No,No,No,No,No,1,1,No,No,No,No,1,1,7
18,Female,25-29,Chancellor College,Postgraduate,7=Missing,Science,99=Missing,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,No,No,16
19,Female,30-34,Chancellor College,Postgraduate,7=Missing,Science,3=Frequently,2=Occasionally,3=Frequently,1=Rarely,3=Frequently,4=Often,4=Often,3=Frequently,4=Often,4=Often,4=Often,4=Often,4=Often,4=Often,4=Often,4=Often,4=Often,4=Often,4=Often,4=Often,No,No,1,1,No,1,No,1,1,1,No,1,1,1,1,1,1,No,No,1,13
20,Female,20-24,Chancellor College,Undergraduate,4+,Science,2=Occasionally,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,1=Rarely,1=Rarely,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,1=Rarely,2=Occasionally,2=Occasionally,1,1,1,No,No,No,No,1,1,No,1,1,1,No,No,No,No,1,No,No,9
21,Male,25-29,Chancellor College,Undergraduate,2,Science,3=Frequently,1=Rarely,0=Does not Apply,2=Occasionally,1=Rarely,0=Does not Apply,2=Occasionally,1=Rarely,5=Always,3=Frequently,4=Often,5=Always,4=Often,3=Frequently,3=Frequently,5=Always,2=Occasionally,5=Always,3=Frequently,4=Often,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,No,2
22,Male,20-24,Chancellor College,Undergraduate,4+,Science,3=Frequently,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,4=Often,1=Rarely,1=Rarely,1=Rarely,3=Frequently,2=Occasionally,1=Rarely,1=Rarely,2=Occasionally,2=Occasionally,0=Does not Apply,1=Rarely,2=Occasionally,2=Occasionally,1,No,No,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,No,2
23,Male,20-24,Chancellor College,Undergraduate,4+,Science,5=Always,2=Occasionally,3=Frequently,3=Frequently,1=Rarely,1=Rarely,5=Always,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,3=Frequently,1=Rarely,1=Rarely,0=Does not Apply,3=Frequently,1=Rarely,3=Frequently,2=Occasionally,2=Occasionally,1,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2
24,Male,20-24,Chancellor College,Undergraduate,4+,Science,4=Often,1=Rarely,1=Rarely,2=Occasionally,1=Rarely,0=Does not Apply,4=Often,0=Does not Apply,2=Occasionally,2=Occasionally,2=Occasionally,3=Frequently,0=Does not Apply,1=Rarely,2=Occasionally,1=Rarely,3=Frequently,0=Does not Apply,0=Does not Apply,0=Does not Apply,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
25,Female,20-24,Chancellor College,Undergraduate,4+,Science,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,99=Missing,99=Missing,2=Occasionally,2=Occasionally,0=Does not Apply,0=Does not Apply,1=Rarely,2=Occasionally,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
26,Female,20-24,Daeyang University ,Undergraduate,3,Science,5=Always,5=Always,5=Always,5=Always,5=Always,1=Rarely,5=Always,4=Often,1=Rarely,5=Always,5=Always,5=Always,5=Always,5=Always,5=Always,5=Always,5=Always,4=Often,1=Rarely,5=Always,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
27,Male,25-29,Chancellor College,Undergraduate,4+,Science,3=Frequently,2=Occasionally,2=Occasionally,3=Frequently,2=Occasionally,3=Frequently,3=Frequently,3=Frequently,2=Occasionally,2=Occasionally,3=Frequently,3=Frequently,2=Occasionally,3=Frequently,3=Frequently,3=Frequently,3=Frequently,2=Occasionally,2=Occasionally,3=Frequently,No,No,No,No,No,No,No,No,1,No,No,1,No,No,No,No,No,1,No,1,4
28,Male,35-39,Chancellor College,Postgraduate,7=Missing,Science,3=Frequently,2=Occasionally,3=Frequently,2=Occasionally,1=Rarely,1=Rarely,3=Frequently,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,3=Frequently,1=Rarely,1=Rarely,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,3=Frequently,1=Rarely,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
29,Female,20-24,Chancellor College,Undergraduate,4+,Humanities and Social Science,4=Often,3=Frequently,3=Frequently,2=Occasionally,5=Always,1=Rarely,3=Frequently,0=Does not Apply,4=Often,5=Always,5=Always,5=Always,4=Often,5=Always,4=Often,5=Always,5=Always,0=Does not Apply,5=Always,3=Frequently,1,1,1,1,No,1,No,No,No,1,No,1,No,No,1,No,No,No,No,1,9
30,Male,20-24,Daeyang University,Undergraduate,3,Science,4=Often,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,1=Rarely,4=Often,2=Occasionally,5=Always,5=Always,1=Rarely,2=Occasionally,2=Occasionally,1=Rarely,2=Occasionally,3=Frequently,3=Frequently,2=Occasionally,2=Occasionally,1=Rarely,1,No,No,No,No,No,1,No,1,No,1,No,No,1,1,1,1,1,1,1,11
31,Male,15-19,Daeyang University,Undergraduate,3,Science,4=Often,3=Frequently,1=Rarely,1=Rarely,1=Rarely,1=Rarely,4=Often,2=Occasionally,1=Rarely,0=Does not Apply,5=Always,5=Always,3=Frequently,1=Rarely,1=Rarely,5=Always,1=Rarely,5=Always,1=Rarely,1=Rarely,No,No,No,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,No,1
32,Female,20-24,Chancellor College,Postgraduate,7=Missing,Science,2=Occasionally,1=Rarely,0=Does not Apply,2=Occasionally,2=Occasionally,0=Does not Apply,2=Occasionally,0=Does not Apply,2=Occasionally,0=Does not Apply,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,0=Does not Apply,1=Rarely,0=Does not Apply,2=Occasionally,No,No,No,1,No,1,No,No,No,No,No,1,No,No,1,No,No,1,1,No,6
33,Female,20-24,Chancellor College,Undergraduate,3,Humanities and Social Science,2=Occasionally,1=Rarely,4=Often,4=Often,2=Occasionally,1=Rarely,2=Occasionally,1=Rarely,3=Frequently,4=Often,3=Frequently,4=Often,1=Rarely,3=Frequently,2=Occasionally,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,4=Often,1,1,No,No,1,1,No,No,1,1,No,No,No,No,1,No,No,1,No,1,9
34,Female,20-24,Chancellor College,Undergraduate,2,Humanities and Social Science,3=Frequently,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,2=Occasionally,4=Often,2=Occasionally,4=Often,5=Always,1=Rarely,5=Always,2=Occasionally,3=Frequently,2=Occasionally,2=Occasionally,1=Rarely,2=Occasionally,5=Always,3=Frequently,1,No,1,1,No,1,No,No,1,No,No,1,No,No,1,No,No,1,1,1,10
35,Male,25-29,Chancellor College,Undergraduate,2,Science,3=Frequently,2=Occasionally,0=Does not Apply,0=Does not Apply,1=Rarely,2=Occasionally,2=Occasionally,2=Occasionally,0=Does not Apply,0=Does not Apply,1=Rarely,3=Frequently,0=Does not Apply,2=Occasionally,2=Occasionally,1=Rarely,2=Occasionally,0=Does not Apply,1=Rarely,0=Does not Apply,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
36,Female,20-24,Chancellor College,Undergraduate,3,Humanities and Social Science,5=Always,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,0=Does not Apply,2=Occasionally,0=Does not Apply,3=Frequently,0=Does not Apply,2=Occasionally,3=Frequently,0=Does not Apply,2=Occasionally,0=Does not Apply,3=Frequently,2=Occasionally,2=Occasionally,4=Often,0=Does not Apply,1,No,No,1,No,No,1,No,No,No,1,No,No,No,1,No,No,1,1,1,8
37,Male,30-34,Chancellor College,Undergraduate,1,Science,1=Rarely,1=Rarely,2=Occasionally,1=Rarely,1=Rarely,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,0=Does not Apply,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
38,Male,30-34,Chancellor College,Postgraduate,7=Missing,Science,3=Frequently,0=Does not Apply,1=Rarely,3=Frequently,0=Does not Apply,0=Does not Apply,3=Frequently,0=Does not Apply,3=Frequently,0=Does not Apply,1=Rarely,3=Frequently,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,No,1,No,No,No,1,No,No,1,No,No,No,No,1,1,No,No,No,No,No,5
39,Male,30-34,Chancellor College,Postgraduate,7=Missing,Science,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,0=Does not Apply,0=Does not Apply,2=Occasionally,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,0=Does not Apply,2=Occasionally,0=Does not Apply,0=Does not Apply,0=Does not Apply,2=Occasionally,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,1
40,Male,30-34,Chancellor College,Undergraduate,2,Science,4=Often,1=Rarely,2=Occasionally,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,4=Often,4=Often,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,4=Often,0=Does not Apply,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,No,No,No,1,No,2
41,Female,20-24,Chancellor College,Undergraduate,3,Humanities and Social Science,2=Occasionally,3=Frequently,0=Does not Apply,1=Rarely,1=Rarely,0=Does not Apply,3=Frequently,1=Rarely,2=Occasionally,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,3=Frequently,1=Rarely,2=Occasionally,1=Rarely,2=Occasionally,No,1,1,No,1,1,1,1,1,No,No,1,No,1,1,No,No,No,1,No,11
42,Male,25-29,Chancellor College,,4+,Science,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,2=Occasionally,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,5=Always,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
43,Male,25-29,Chancellor College,Undergraduate,2,Science,2=Occasionally,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,2=Occasionally,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,1,No,No,No,No,1,No,1,1,No,No,No,No,No,No,No,No,1,1,1,7
44,Male,30-34,Chancellor College,Undergraduate,2,Science,1=Rarely,2=Occasionally,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,1=Rarely,5=Always,1=Rarely,1=Rarely,3=Frequently,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1,No,1,1,No,1,1,1,No,No,No,1,No,No,1,No,1,1,No,1,11
45,Male,25-29,Chancellor College,Postgraduate,7=Missing,Science,3=Frequently,2=Occasionally,0=Does not Apply,1=Rarely,1=Rarely,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,1=Rarely,1=Rarely,0=Does not Apply,99=Missing,2=Occasionally,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,1
46,Male,20-24,MRC,7=Missing,3,Science,2=Occasionally,1=Rarely,1=Rarely,3=Frequently,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,3=Frequently,3=Frequently,3=Frequently,2=Occasionally,1=Rarely,1=Rarely,2=Occasionally,No,No,No,No,No,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,1
47,Female,20-24,Chancellor College,Postgraduate,7=Missing,Science,3=Frequently,1=Rarely,1=Rarely,3=Frequently,1=Rarely,1=Rarely,3=Frequently,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,3=Frequently,1=Rarely,1=Rarely,1=Rarely,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
48,Male,35-39,Chancellor College,Undergraduate,1,Science,2=Occasionally,1=Rarely,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,2=Occasionally,1=Rarely,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,No,No,No,No,No,1,No,No,1,No,1,No,No,1,No,No,No,No,No,No,4
49,Male,30-34,Chancellor College,Postgraduate,7=Missing,Humanities and Social Science,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,1=Rarely,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,No,No,No,No,No,No,No,No,1,No,1,No,No,No,No,No,No,No,No,No,2
